기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20233,A,골목상권,3110569,홍대땡땡거리,CS100009,호프-간이주점,1339674228,25976,849796916,489877312,115155148,135390227,166104459,212720232,220426850,311715132,178162180,222425296,1243054,34541529,43927415,397810250,639726684,722089619,549679890,6930469,446728165,406257750,248880925,129427102,33545099,16042,9934,1995,2521,3573,3706,4247,6162,3772,4600,230,722,1079,7354,11991,13759,11692,197,8861,7903,4529,3079,883
20233,A,골목상권,3110569,홍대땡땡거리,CS100010,커피-음료,505198627,76265,336829517,168369110,65977004,59299137,60540745,64959526,86053105,86030671,82338439,22878479,55766914,146177968,118226220,112372969,49776077,246198881,237333329,8662618,138348047,143057455,111827929,62798284,18837877,50536,25729,10440,10051,9612,9976,10457,13148,12581,3381,10514,19890,17038,17343,8099,38919,36209,1688,24793,23842,11779,10091,2940
20233,A,골목상권,3110569,홍대땡땡거리,CS200003,예술학원,600864694,674,381552438,219312256,49129860,31241298,191859569,71096906,38224805,186525446,32786810,0,19647800,51309737,140645115,361096793,28165249,186557805,414306889,0,31056205,16623881,287261606,262853033,3069969,360,314,78,33,108,86,55,257,57,0,31,73,210,311,49,221,453,0,47,31,348,233,15
20233,A,골목상권,3110569,홍대땡땡거리,CS200028,미용실,27765265,745,17775953,9989312,3471586,3749264,3513237,2859928,4181938,5233101,4756211,0,225166,4563198,4398459,16449422,2129020,10194295,17570970,0,6096192,11649979,3775827,2208035,4035232,512,233,103,90,121,87,111,132,101,0,13,159,163,374,36,373,372,0,137,309,101,88,110
20233,A,골목상권,3110569,홍대땡땡거리,CS200031,세탁소,35831562,3324,28500750,7330812,7693608,5248997,6897872,3832992,4827281,7330812,0,0,3621918,10465188,10325121,11419335,0,21191736,14639826,0,6142067,9490323,8601785,6855356,4742031,2699,625,712,540,605,410,432,625,0,0,410,929,863,1122,0,2008,1316,0,582,778,842,734,388
20233,A,골목상권,3110569,홍대땡땡거리,CS300001,슈퍼마켓,48674613,3673,35804743,12869870,13478044,2727675,2251815,13430647,3916562,8006182,4863688,25164,2286740,15374377,5856472,22221048,2910812,17964802,29041738,44071,14341658,9590922,3998884,14015975,5015029,2210,1463,532,456,366,408,448,547,916,7,324,707,1181,1105,349,1637,1994,25,430,1630,781,490,274
20233,A,골목상권,3110569,홍대땡땡거리,CS300002,편의점,400067715,48535,275774605,124293110,51010373,52713236,58490727,57369366,56190903,72546175,51746935,49319532,42110676,47454248,56249530,117449025,87484704,229043381,171024334,5468158,79703955,116268105,83599620,78203983,36823894,34493,14042,6294,6841,7227,7326,6805,7739,6303,5423,5791,7066,7748,13376,9131,27093,21442,1305,12232,12681,8877,9535,3905
20233,A,골목상권,3110569,홍대땡땡거리,CS300003,컴퓨터및주변장치판매,44896044,477,36634994,8261050,3722046,18208518,1590958,2883611,10229861,8261050,0,0,5647901,6928623,12735621,19361165,222734,21111219,14243053,0,3066572,2823155,11590130,11136707,6737708,365,112,64,71,71,72,87,112,0,0,40,111,143,175,8,207,152,0,72,96,56,88,48
20233,A,골목상권,3110569,홍대땡땡거리,CS300011,일반의류,4563007,106,4563007,0,2702886,0,715431,1144690,0,0,0,0,0,0,0,3418317,1144690,3513708,1049299,0,2369018,715431,0,0,1478558,106,0,58,0,24,24,0,0,0,0,0,0,0,82,24,58,48,0,34,24,0,0,48
20233,A,골목상권,3110569,홍대땡땡거리,CS300028,화초,23791441,1087,14957844,8833597,1489887,1370995,2080537,282380,9734045,5960636,2872961,0,0,4239368,10936691,8199275,416107,3741566,18920357,2647147,6164092,4808501,593559,126476,8322148,584,503,243,142,83,11,105,269,234,0,0,272,279,453,83,293,783,154,522,256,41,20,83
